Numéros	Dates	Heures	Lieux	Dept ou pays	Cotes archives du dossier	Détails sommaires de l'observation	Média	Consultation
77	1998,08,05	23:00:00	St Ouen du Tilleul	27	980805b	boule blanche brillante, vol rect + rapide qu'un avion	 	Base ARCADIA
78	1998,08,06	01:00:00	Cateleu	76	980806	1 boule blanche ronde/ovale stationnaire pendant 5min	 	Base ARCADIA
79	1998,08,11	23:00:00	Bergamme	Italie	980811	2 triangles dont un plus petit	 	Base ARCADIA
80	1998,08,12	21:00:00	Grand Quevilly	76	980812	disque blanc de la taille d'un ballon en vol stationnaire pendant 10min	 	Base ARCADIA
81	1998,08,12	00:00:00	La Haye Malherbe	27	980812b	3 feux (2 blancs, 1 rouge) disposés en triangle, aucune structure apperçue, vol rectiligne	 	Base ARCADIA
82	1998,08,13	21:30:00	Vernon	27	980813a	Appar/dispar soudaine d'une boule jaunâtre stationnaire	 	Base ARCADIA
83	1998,08,13	22:30:00	La Neuville Champ d'Oissel	76	980813b	Avion traingulaire non conventionnel, bruit de réacteur connu	 	Base ARCADIA
84	1998,08,14	23:00:00	St Valery en Caux	76	980813c	boule blanche brillante, vol stationnaire	 	Base ARCADIA
85	1998,08,19	22:30:00	Vernon	27	980819a	boule lumineuse jaune stat, puis deplacement vers le témoin, objet circulaire jaune 2 tons	 	Base ARCADIA
86	1998,08,19	23:00:00	Maromme	76	980819b	grosse étoile blanche faisant des allés et retour très rapide	 	Base ARCADIA
87	1998,08,19	00:00:00	La Neuville Champ d'Oissel	76	980819c	1 sphère blanche (taille d'un soleil elvant), oscillement stationnaire	 	Base ARCADIA
88	1998,08,19	01:00:00	Pavilly	76	980819d	2 boules blanches côte-côte avec un bruit claquant	 	Base ARCADIA
89	1998,08,21	22:30:00	St Ouen du Tilleul	27	980821a	3 objets en spirale blanc./rosé formant un traingle tournoyant	 	Base ARCADIA
90	1998,08,21	23:15:00	Orgeval	78	980821b	sphère blanche vaporeuse en rotation stationnaire pendant 5min	 	Base ARCADIA
